ID;share_of_households_with_air_conditioning;homeownership_rate;average_household_age;share_of_population_under_4_years_old;share_of_population_over_64_years_old;unemployment_rate;share_of_superior_edu;percentage_overcrowded_households;building_state_of_conservation_index;main_heating_energy_source_share_of_electricity;main_heating_energy_source_share_of_wood_coal_and_other_solid_fuels;main_heating_energy_source_share_of_petroleum_diesel_and_other_liquid_fuels;main_heating_energy_source_share_of_gas;main_heating_energy_source_share_of_other
181920;0,0078125;0,9765625;1974,091071;0,030864198;0,237654321;0,165217391;0,009259259;5,885;4,608856089;0,0234375;0,875;0,09375;0,0078125;0
181921;0,045454545;0,787878788;1979,405444;0,046875;0,20703125;0,112359551;0,0234375;10,575;4,613569322;0,080808081;0,772727273;0,055555556;0,035353535;0
182004;0,032490975;0,898916968;1978,036717;0,039440204;0,180661578;0,06744868;0,050890585;8,66;4,580046404;0,083032491;0,678700361;0,202166065;0,018050542;0
182005;0,01384083;0,968858131;1970,569948;0,037809648;0,209908735;0,076923077;0,015645372;9;4,094567404;0,100346021;0,802768166;0,055363322;0,003460208;0
182006;0,004310345;0,974137931;1957,451654;0,0330033;0,252475248;0,118226601;0,00330033;10,78;4,217008798;0,047413793;0,831896552;0,068965517;0,004310345;0
182009;0,007751938;0,906976744;1978,463808;0,01532567;0,501915709;0,140625;0,007662835;7,75;4,091954023;0,046511628;0,92248062;0,007751938;0,007751938;0
182011;0,012578616;0,949685535;1976,309375;0,028151775;0,238678091;0,147058824;0,020807834;8,325;4,441747573;0,075471698;0,773584906;0,088050314;0,028301887;0
182012;0;0,900452489;1952,148282;0,038869258;0,238515901;0,090909091;0,030035336;7,35;4,554327808;0,058823529;0,814479638;0,076923077;0,004524887;0
182013;0,024406332;0,84762533;1969,016766;0,055830389;0,150530035;0,12911796;0,064782097;6,455;4,511996161;0,275725594;0,503957784;0,098944591;0,073218997;0,003298153
182102;0,041441441;0,87027027;1973,054676;0,045454545;0,223202171;0,122356495;0,053595658;7,39;4,731671554;0,12972973;0,740540541;0,054054054;0,054054054;0,003603604
